Organization Legal Name or 'Doing Business As' Name,Group Practice PAC ID,State,Participating in eRx,Participating in PQRS,Controlling blood sugar levels in patients with diabetes.,Footnote for measure DM 15,Controlling blood pressure in patients with diabetes.,Footnote for measure DM 13,Prescribing aspirin to patients with diabetes and heart disease.,Footnote for measure DM 16,Prescribing medicine to improve the pumping action of the heart in patients who have both heart disease and certain other conditions.,Footnote for measure CAD 7
U U ANESTHESIOLOGY DEPARTMENT SCHOOL OF MEDICINE,8527963966,UT, ,Y,,.,,.,,.,,.
WEST COUNTY RADIOLOGICAL GROUP,8527966944,MO, ,Y,,.,,.,,.,,.
OLMSTED MEDICAL CENTER,8527970060,MN, ,Y,82,.,82,.,95,.,79,.
WINONA HEALTH SERVICES,8527977420,MN, ,Y,,.,,.,,.,,.
"COGENT HEALTHCARE OF TEXAS, PA",8628076924,TX, ,Y,,.,,.,,.,,.
UNIVERSITY PHYSICIAN GROUP,8628087681,MI,Y,Y,,.,,.,,.,,.
FAIRFAX RADIOLOGICAL CONSULTANTS PC,8628970324,VA, ,Y,,.,,.,,.,,.
COVENANT MEDICAL GROUP,8628980943,WI, ,Y,,.,,.,,.,,.
METROHEALTH SYSTEM,8628982949,OH,Y,Y,,.,,.,,.,,.
OBSTETRICS AND GYNECOLOGY ASSOCIATES INC,8729049606,OH, ,Y,,.,,.,,.,,.
ANDREW S RIEMER DO PC,8729058839,MI,Y, ,,.,,.,,.,,.
SOUTH COAST PHYSICIANS,8729239371,MS,Y, ,,.,,.,,.,,.
MEMORIALCARE MEDICAL FOUNDATION,8729277314,CA, ,Y,,.,,.,,.,,.
UNIVERSITY OF PITTSBURGH PHYSICIANS,8729990239,PA,Y, ,,.,,.,,.,,.
IOWA PHYSICIANS CLINIC MEDICAL FOUNDATION,8729992318,IA,Y, ,,.,,.,,.,,.
"TERRENCE T HOPKINS MD, PA",8820094527,FL, ,Y,,.,,.,,.,,.
"WARREN CLINIC, INC",8820900293,OK,Y,Y,78,.,66,.,93,.,89,.
"THE EMORY CLINIC, INC",8820901408,GA,Y,Y,68,.,61,.,90,.,89,.
LRGHEALTHCARE,8820908189,NH, ,Y,,.,,.,,.,,.
ADIRONDACK PATHOLOGY PC,8921065293,NY, ,Y,,.,,.,,.,,.
PHYSICIAN GROUP OF LOUISIANA INC,8921147067,LA, ,Y,,.,,.,,.,,.
HEALTHTEXAS-MED PROVIDER,8921910118,TX,Y,Y,76,.,75,.,95,.,80,.
"ULTIMATE HEALTH SERVICES, INC.",8921912536,WV, ,Y,,.,,.,,.,,.
MERCY PHYSICIAN NETWORK,8921996307,MI,Y, ,,.,,.,,.,,.
PEACEHEALTH MEDICAL GROUP,9032023270,OR, ,Y,,.,,.,,.,,.
ABQ HEALTH PARTNERS LLC,9032125810,NM, ,Y,,.,,.,,.,,.
"UNIVERSITY OF FLORIDA JACKSONVILLE PHYSICIANS, INC.",9133025869,FL, ,Y,68,.,66,.,80,.,81,.
ST MARYS GOOD SAMARITAN MEDICAL GROUP,9234022567,IL, ,Y,66,.,67,.,84,.,54,.
"SAN BENITO MEDICAL ASSOCIATES, INC.",9234025578,TX, ,Y,,.,,.,,.,,.
SCRIPPS HEALTH,9234033853,CA, ,Y,,.,,.,,.,,.
FHN FAMILY HEALTHCARE CENTER,9234041682,IL, ,Y,71,.,61,.,75,.,61,.
CLOVIS PLAINS REGIONAL MEDICAL CENTER,9234041708,NM, ,Y,74,.,73,.,87,.,81,.
VPA PC,9234041948,OH, ,Y,78,.,75,.,45,.,52,.
"BOSTON UNIVERSITY MEDICAL CENTER UROLOGISTS, INC.",9234105875,MA, ,Y,,.,,.,,.,,.
GRANTS PASS CLINIC LLP,9234123977,OR, ,Y,,.,,.,,.,,.
"PROMEDICA WEST PHYSICIANS, LLC",9335044213,OH,Y, ,,.,,.,,.,,.
GEM STATE RADIOLOGY LLP,9335044833,ID, ,Y,,.,,.,,.,,.
COASTAL COMMUNITIES PHYSICIAN NETWORK,9335052737,CA,Y, ,,.,,.,,.,,.
ALLERGY CONSULTANTS,9335110949,IL, ,Y,,.,,.,,.,,.
SIERRA MEDICAL GROUP,9335185594,CA,Y, ,,.,,.,,.,,.
GREAT PLAINS FAMILY PRACTICE,9335188184,OK, ,Y,,.,,.,,.,,.
PROMEDICA HEMATOLOGY ONCOLOGY PHYSICIANS LLC,9335265594,OH,Y, ,,.,,.,,.,,.
EXCLUSIVE PHYSICIANS PLLC,9335279942,MI, ,Y,,.,,.,,.,,.
TRIMARK PHYSICIANS GROUP,9335308444,IA,Y, ,,.,,.,,.,,.
INPATIENT CONSULTANTS OF KANSAS PA,9335329556,MO, ,Y,,.,,.,,.,,.
SOUTH LANE MEDICAL GROUP,9436060530,OR, ,Y,,.,,.,,.,,.
YALE UNIVERSITY,9436061736,CT,Y, ,,.,,.,,.,,.
"INLAND PSYCHIATRIC MEDICAL GROUP, INC.",9436062312,CA,Y, ,,.,,.,,.,,.
KETCHIKAN MEDICAL CENTER,9436067618,AK, ,Y,,.,,.,,.,,.
UROPARTNERS LLC,9436182946,IL, ,Y,,.,,.,,.,,.
FAMILY WELLNESS CENTER PC,9537057377,WA, ,Y,,.,,.,,.,,.
PEACEHEALTH,9537073960,WA, ,Y,,.,,.,,.,,.
CONFLUENCE HEALTH WENATCHEE VALLEY HOSPITAL AND CLINICS,9537309869,WA, ,Y,48,.,70,.,,1,,1
"PIEDMONT HEALTHCARE, P.A.",9638070683,NC, ,Y,,.,,.,,.,,.
ST VINCENT FACULTY PRACTICE,9638072184,IN, ,Y,62,.,64,.,,1,65,.
HEALTH SERVICES OF CENTRAL GEORGIA,9638076730,GA, ,Y,,.,,.,,.,,.
OGDEN CLINIC,9638078033,UT, ,Y,73,.,77,.,56,.,58,.
GUNDERSEN CLINIC  LTD,9638082779,WI, ,Y,,.,,.,,.,,.
BAYLOR MEDICAL CENTER AT GARLAND,9638087299,TX,Y, ,,.,,.,,.,,.
HEALTHPOINT MEDICAL GROUP INC,9739086612,FL, ,Y,83,.,64,.,73,.,66,.
"ST LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ, ,Y,65,.,68,.,86,.,75,.
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE, ,Y,71,.,73,.,87,.,71,.
SANFORD BISMARCK,9739098575,ND,Y, ,,.,,.,,.,,.
THE RECOVERY PROJECT LLC.,9739154311,MI, ,Y,,.,,.,,.,,.
PREMIER MEDICAL ASSOCIATES PC,9830003235,PA, ,Y,,.,,.,,.,,.
BAYLOR UNIVERSITY MEDICAL CENTER,9830007467,TX,Y, ,,.,,.,,.,,.
WASHINGTON UNIVERSITY,9830008770,MO,Y,Y,,.,,.,,.,,.
EASTCHESTER CENTER FOR CANCER CARE,9830080951,NY, ,Y,,.,,.,,.,,.
21ST CENTURY ONCOLOGY LLC,9830082882,FL, ,Y,,.,,.,,.,,.
"AMERICAN HEALTH NETWORK OF INDIANA, LLC",9830093533,IN,Y, ,,.,,.,,.,,.
SUTTER MEDICAL FOUNDATION,9830094515,CA, ,Y,74,.,70,.,81,.,65,.
TRI-STATE DIGESTIVE DISEASE ASSOC PSC.,9830163609,KY, ,Y,,.,,.,,.,,.
"BOSTON UNIVERSITY GENERAL SURGICAL ASSOCIATES, INC.-QMC",9830183763,MA, ,Y,,.,,.,,.,,.
"VIRTUA MEDICAL GROUP, PA",9830222397,NJ,Y, ,,.,,.,,.,,.
SPUH AMB CARE GROUP,9931012382,NJ, ,Y,,.,,.,,.,,.
LIBERTY HOSPITAL PHYSICIANS,9931166618,MO, ,Y,,.,,.,,.,,.
SLRHC FACULTY PRACTICE,9931207735,NY, ,Y,68,.,71,.,73,.,58,.
ARCH HEALTH PARTNERS,9931239027,CA, ,Y,,.,,.,,.,,.
